,City,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
269,Verkhnyaya Balkariya,60.8,43.13,43.46,82,75,4.47
270,Belaya Gora,32.77,68.54,146.19,97,92,9.66
271,Independence,80.28,39.09,-94.42,69,1,5.82
272,Santa Ana,77.94,13.99,-89.56,58,20,1.72
273,Moba,71.56,-7.04,29.77,76,80,2.51
274,Pasighat,64.09,28.06,95.33,94,92,1.72
275,Bakel,80.65,14.9,-12.46,80,20,2.84
276,Te Anau,45.55,-45.41,167.72,80,8,8.66
277,Tefe,82.4,-3.35,-64.71,88,0,4.7
278,Warah,58.33,13.4,44.12,87,0,2.17
279,Gidole,67.15,5.65,37.37,71,92,3.06
280,Lyubymivka,59.5,46.81,33.57,96,92,5.64
281,El Alto,46.4,-16.5,-68.19,49,75,6.93
282,Mankera,78.58,13.01,5.07,66,0,6.64
283,Szczytno,46.72,53.57,20.99,92,68,23.53
284,Sambava,72.64,-14.27,50.17,100,68,14.25
285,Batatais,80.6,-20.89,-47.59,51,0,5.82
286,Mount Gambier,56.62,-37.83,140.78,93,56,6.42
287,Dingle,79.84,11,122.67,90,0,2.17
288,Carnarvon,42.76,-30.97,22.13,77,8,15.14
289,Garhi Khairo,67.87,28.06,67.98,61,0,1.83
290,Mareeba,78.8,-16.99,145.42,54,75,16.11
291,North Bend,59.47,43.41,-124.22,69,1,13.87
292,Chifeng,47.62,42.27,118.96,60,0,2.62
293,Weifang,63.19,36.71,119.16,73,0,3.96
294,Tiznit,66.88,29.7,-9.73,96,0,3.74
295,Goderich,55.45,43.74,-81.71,95,68,11.23
296,Cayenne,75.2,4.94,-52.33,100,0,11.01
297,Kysyl-Syr,33.04,63.9,122.77,97,88,5.19
298,Alakurtti,26.92,66.96,30.34,91,0,6.2
299,Sipe Sipe,69.8,-17.45,-66.36,28,75,3.36
300,Portland,63.12,45.52,-122.67,41,20,14.99
301,Preobrazheniye,56.53,42.9,133.91,67,0,2.62
302,Moskovskiy,47.59,55.6,37.35,87,90,6.71
303,Yulara,71.6,-25.24,130.99,56,40,14.99
304,Vila Velha,78.8,-3.71,-38.6,78,40,16.11
305,Genhe,38.44,50.78,121.52,74,0,3.62
306,Lamar,84.92,38.09,-102.62,31,20,21.92
307,Urucara,88.3,-2.54,-57.76,39,0,5.3
308,Zhaodong,51.8,46.07,125.99,81,0,4.47
309,Cherskiy,40.87,68.75,161.3,81,12,2.17
310,Kapit,75.97,2.02,112.94,95,92,2.73
311,Vakhrushev,50.41,48.99,142.86,97,56,8.66
312,Saldanha,49.6,41.42,-6.55,61,0,5.97
313,Polovinnoye,41.32,54.79,65.99,79,76,10.33
314,Novo Oriente,79.93,-5.54,-40.77,41,0,8.66
315,Bikramganj,70.93,25.22,84.27,75,0,3.18
316,Alvaraes,82.4,-3.22,-64.8,88,0,4.7
317,Zhengjiatun,50.41,43.51,123.51,66,0,4.63
318,Sorong,78.22,-0.86,131.25,100,20,10
319,Wiltz,51.75,49.97,5.93,93,48,8.05
320,Nome,77.95,30.04,-94.42,84,1,4.41
321,Maningrida,80.47,-12.05,134.23,72,0,11.23
322,Fiumicino,63.43,41.77,12.23,63,0,6.93
323,Gaurnadi,80.92,22.97,90.23,72,0,10.22
324,Sobolevo,44.92,54.43,31.9,89,92,9.66
325,Coffs Harbour,73.4,-30.3,153.13,53,8,14.99
326,Kununurra,89.6,-15.77,128.74,38,0,10.29
327,Benjamin Constant,78.8,-4.38,-70.03,88,75,2.24
328,Palmetto,72.14,33.52,-84.67,78,1,2.95
329,Port Hardy,51.8,50.7,-127.42,43,20,9.17
330,Hualmay,62.2,-11.1,-77.61,81,80,3.51
331,La Ronge,33.8,55.1,-105.3,47,20,3.36
332,Mantua,48.18,45.16,10.79,81,0,4.7
333,Cabadiangan,84.2,10.45,123.98,74,90,2.24
334,Priladozhskiy,42.8,59.85,31.48,87,75,2.24
335,Oum Hadjer,76.24,13.3,19.7,55,0,4.74
336,Marystown,43.12,47.17,-55.16,99,0,5.3
337,Varnamo,41,57.19,14.04,93,8,14.99
338,Mulhouse,51.53,47.75,7.34,62,75,4.7
339,Poum,49.51,41.28,20.71,82,64,1.95
340,Santa Cruz del Sur,80.47,20.71,-78,79,24,11.45
341,Sola,46.4,58.89,5.65,75,40,14.99
342,Gladstone,72.46,-23.84,151.26,69,0,11.9
343,Muromtsevo,40.51,56.37,75.24,88,32,6.42
344,Kidal,79.75,18.44,1.41,35,0,7.87
345,Zhigansk,32.41,66.77,123.37,96,88,5.19
346,Jeremie,82.36,18.65,-74.12,93,92,5.97
347,Pavlodar,33.8,52.28,76.96,100,0,6.71
348,Opunake,57.07,-39.45,173.86,90,20,10.89
349,Santiago,59,-33.44,-70.65,41,0,8.05
350,Mount Isa,84.2,-20.73,139.49,25,0,12.75
351,Mporokoso,73,-9.37,30.12,38,92,5.64
352,Dubti,72.01,11.74,41.09,54,0,3.18
353,Brookings,54.39,44.31,-96.8,96,90,10.29
354,Pangody,33.31,65.85,74.49,88,76,7.65
355,Khandyga,33.04,62.65,135.58,97,88,3.74
356,Bara,72.55,10.41,10.6,85,0,4.63
357,Fukue,71.6,35.03,136.69,64,75,8.05
358,Havre-Saint-Pierre,32,50.23,-63.6,89,75,3.36
359,Springbok,55.99,-29.67,17.88,36,36,15.14
360,Agvali,46.63,42.54,46.12,82,32,1.61
361,Ankpa,74.89,7.37,7.63,94,64,7.43
362,Cervo,66.07,-22.19,-46.24,86,76,1.95
363,Pisco,66.2,-13.71,-76.2,82,75,5.82
364,Gravdal,46.4,59.79,5.78,75,0,26.4
365,Dabola,64.99,10.74,-11.11,91,0,2.62
366,Hammelburg,48.7,50.12,9.9,88,80,12.8
367,Parabel,41.14,58.71,81.5,86,76,6.08
368,Lorengau,84.79,-2.02,147.27,97,8,5.41
369,Show Low,63.81,34.25,-110.03,93,75,9.17
370,Litovko,50.77,49.24,135.18,69,32,5.3
371,Ust-Tsilma,43.03,65.44,52.15,97,88,7.09
372,Calatrava,84.2,10.6,123.48,74,90,2.24
373,Derzhavinsk,31.6,51.1,66.31,72,0,4.63
374,Charters Towers,71.74,-20.07,146.27,71,0,9.1
375,Bongandanga,71.2,1.51,21.07,94,12,2.51
376,Umiray,74.44,15.22,121.41,97,76,1.28
377,Yeppoon,77,-23.13,150.74,41,40,9.17
378,Redcar,49.35,54.62,-1.06,81,0,9.17
379,Karratha,75.7,-20.74,116.85,44,0,11.12
380,Vestmannaeyjar,41.77,63.44,-20.27,94,92,2.17
381,Camalu,67.96,30.85,-116.07,96,36,3.62
382,Finschhafen,74.98,-6.6,147.85,95,88,0.38
383,High Level,39.2,58.52,-117.13,41,75,11.41
384,Gilgit,37.27,35.92,74.31,51,48,0.16
385,Zaoyang,59.32,32.12,112.76,77,68,2.73
386,San Patricio,65.35,-26.98,-56.83,92,44,5.41
387,Kabare,63.82,-1.65,29.38,85,80,3.96
388,Aykhal,33.31,65.95,111.51,94,92,6.98
389,Bonthe,76.69,7.53,-12.5,99,92,3.74
390,Puerto Palomas,80.96,31.78,-107.63,36,20,8.05
391,Carballo,53.65,43.21,-8.69,81,0,4.7
392,Zhanaozen,56.26,43.35,52.85,50,0,5.53
393,Broome,51.12,52.47,1.45,81,0,6.93
394,Esperance,78.8,10.24,-61.45,88,20,5.75
395,Okhotsk,41.86,59.36,143.24,98,24,4.63
396,Boo,75.88,7.44,8.9,91,68,8.66
397,Chaman,40.69,30.92,66.46,52,0,2.73
398,Sokolo,71.65,14.74,-6.12,90,0,1.61
399,Vite,53.46,42.89,-8.54,76,0,5.82
400,Port-Gentil,77.68,-0.72,8.78,100,92,3.96
401,Kaitangata,53.11,-46.28,169.85,79,0,3.74
402,Sal Rei,78.8,16.18,-22.92,83,20,9.17
403,Tecpan,69.8,14.76,-90.99,73,75,13.87
404,Sinnamary,82.9,5.38,-52.96,91,0,14.47
405,Rawson,50.41,-43.3,-65.11,29,24,11.45
406,Kupang,87.8,-10.16,123.6,55,40,20.8
407,Half Moon Bay,71.73,37.46,-122.43,68,75,10.29
408,San Jose,74.8,15.79,120.99,97,8,2.73
409,Macapa,84.2,0.05,-51.07,74,40,10.29
410,Mao,76.98,19.55,-71.08,83,75,3.36
411,Teahupoo,82.4,-17.83,-149.27,54,75,4.7
412,Kapuskasing,42.8,49.42,-82.43,81,5,5.82
413,Almaznyy,56.62,48.03,40.04,96,0,5.41
414,Narsaq,35.6,60.91,-46.05,47,76,6.93
415,Nasice,37.4,45.49,18.09,100,0,3.36
416,Aksha,40.78,50.28,113.29,73,0,2.73
417,Jacareacanga,80.65,-6.22,-57.76,78,48,4.63
418,Mana,45.3,43.52,20.24,100,75,1.12
419,Vao,42.4,59.1,26.19,97,20,7.65
420,Creel,62.47,27.75,-107.63,93,64,0.72
421,Puerto Leguizamo,80.83,-0.19,-74.78,87,0,0.27
422,Haileybury,48.2,47.44,-79.64,81,90,3.36
423,Jalu,77.95,29.03,21.55,32,48,10.56
424,Hay River,32,60.82,-115.79,60,75,10.29
425,Praia,73.4,-20.25,-43.81,64,0,5.82
426,Kirakira,81.64,-10.46,161.92,100,48,13.02
427,Ustka,52.12,54.58,16.86,100,80,40.53
428,Birao,74.89,10.3,22.78,80,12,2.95
429,Bayangol,45.37,48.91,106.09,55,0,12.01
430,Hays,83.61,38.88,-99.33,44,1,14.99
431,Aviles,51.8,43.55,-5.92,81,0,5.82
432,Vila Franca do Campo,68,37.72,-25.43,88,40,19.46
433,Bukan,48.52,36.52,46.21,72,8,3.29
434,Brufut,77,13.38,-16.75,94,20,5.41
435,Mitsamiouli,75.34,-11.38,43.28,100,0,3.74
436,Kloulklubed,86,7.04,134.26,70,75,5.82
437,Miechow,45.43,50.36,20.03,75,75,17.22
438,Teya,78.8,21.05,-89.07,83,40,4.7
439,Minab,80.6,27.15,57.07,78,0,4.7
440,Riyadh,75.2,24.63,46.72,17,0,4.7
441,El Carmen,57.96,-24.39,-65.26,72,75,3.36
442,Daru,73.36,7.99,-10.85,98,68,3.06
443,Medea,62.6,36.27,2.77,82,75,4.7
444,Mezen,43.93,65.85,44.24,98,92,5.64
445,Lebedinyy,38.8,58.52,125.52,66,32,5.53
446,Swan Hill,68.05,-35.34,143.56,53,88,6.76
447,Muswellbrook,68.32,-32.27,150.89,76,32,3.74
448,Port Moresby,82.4,-9.47,147.16,74,40,23.04
449,Tupik,37,54.43,119.94,80,0,2.39
450,Flinders,75.2,-34.58,150.85,36,75,21.92
451,Kutum,85.15,14.2,24.66,25,92,10.56
452,Penzance,55.4,50.12,-5.53,100,90,6.93
453,Guerrero Negro,72.19,27.97,-114.04,100,20,4.63
454,Benjamin Aceval,62.6,-24.97,-57.57,93,90,10.29
455,Campo Maior,55.27,39.01,-7.07,48,8,5.41
456,Nantucket,67.15,41.28,-70.1,90,75,11.41
457,Djibo,76.6,14.1,-1.63,78,12,0.6
458,Port Lincoln,56.98,-34.72,135.86,98,88,19.62
459,Ibotirama,79.93,-12.18,-43.22,35,0,10.22
460,Lompoc,71.15,34.64,-120.46,57,75,11.41
461,Casa Grande,76.39,32.88,-111.76,81,90,12.75
462,Chapais,39.2,49.78,-74.86,80,75,3.36
463,Beloha,57.25,-25.17,45.06,78,0,4.18
464,Beringovskiy,46.81,63.05,179.32,97,88,21.41
465,North Platte,60.08,41.12,-100.77,80,75,3.36
466,Sao Joao do Piaui,81.64,-8.36,-42.25,33,8,8.43
467,Itambacuri,77.5,-18.04,-41.68,52,0,12.68
468,Gwanda,48.97,-20.94,29,48,0,2.62
469,Leh,1.09,34.16,77.58,74,36,1.72
470,Sira,68.86,13.74,76.91,97,36,0.49
471,Herat,44.2,34.35,62.22,57,0,3.4
472,Hambantota,77.41,6.12,81.12,100,48,6.64
473,Peleduy,41.59,59.63,112.75,95,92,4.41
474,Conceicao do Araguaia,78.94,-8.26,-49.26,74,0,2.73
475,Alexeni,46.99,45.14,23.25,93,0,3.85
476,Rundu,63.82,-17.91,19.77,33,0,7.65
477,Baracoa,79.12,20.35,-74.5,100,64,7.87
478,Butembo,60.22,0.12,29.29,97,64,0.72
479,Kirensk,43.75,57.78,108.12,99,92,3.06
480,Terryville,80.06,29.19,-97.07,84,1,6.93
481,Nador,66.07,35.17,-2.93,78,0,5.82
482,Sharjah,77.9,25.36,55.39,74,0,5.82
483,Ahipara,62.74,-35.17,173.16,82,8,3.4
484,Saint Anthony,68.02,43.97,-111.68,4,90,13.87
485,Verkhnevilyuysk,38.17,63.45,120.31,100,92,5.41
486,Bail Hongal,69.04,15.82,74.87,96,68,2.51
487,Dombarovskiy,34.66,50.76,59.54,66,0,8.43
488,Kambja,44.6,58.23,26.7,87,20,5.82
489,Ellensburg,52.61,47,-120.55,48,20,20.8
490,Norwich,51.13,52.63,1.29,81,0,6.93
491,Oranjemund,59.32,-28.55,16.43,87,20,30.8
492,Mogadishu,78.58,2.04,45.34,98,80,14.7
493,Iskateley,35.47,67.68,53.15,100,88,10
494,Phuket,78.44,7.89,98.4,83,20,3.36
495,Jiuquan,26.2,39.73,98.49,63,0,3.96
496,Batagay-Alyta,5.77,67.8,130.41,52,12,2.73
497,Eureka,62.26,40.8,-124.16,96,90,4.7
498,Sur,82.54,22.57,59.53,96,0,4.41
499,Ossora,43.75,59.24,163.07,100,92,10.33
500,Along,62.02,28.17,94.8,98,92,1.72
501,Zeya,40.51,53.74,127.27,57,0,3.06
502,Camarillo,69.51,34.22,-119.04,70,75,5.82
503,San Quintin,84.2,17.54,120.52,62,20,9.17
504,Halifax,53.71,44.65,-63.58,87,90,11.41
505,Cabo San Lucas,81.55,22.89,-109.91,83,75,4.7
506,Ola,44.6,59.58,151.3,100,0,4.47
507,Tarko-Sale,25.75,64.92,77.78,93,44,4.29
508,Havelock,75.2,34.88,-76.9,81,1,5.82
509,Aklavik,37.4,68.22,-135.01,55,40,8.05
510,Mendoza,64.4,-32.89,-68.84,52,0,3.36
511,Yokadouma,71.74,3.52,15.05,93,68,1.72
512,Townsville,80.6,-19.26,146.82,39,0,17.22
513,Zenzeli,55.36,45.92,47.05,85,76,7.31
514,Marau,63.37,-28.45,-52.2,100,92,7.65
515,Sembabule,60.22,-0.08,31.46,93,76,2.95
516,Mandan,51.08,46.83,-100.89,96,90,8.05
517,Rorvik,39.07,64.86,11.24,100,56,3.4
518,Tingi,69.49,-11.3,35.03,100,0,5.97
519,Kaduqli,69.94,11.01,29.72,94,0,2.62
520,Kainantu,76.06,-6.29,145.87,67,0,1.72
521,Ranong,77,9.96,98.62,100,20,5.19
522,Dhidhdhoo,78.67,6.88,73.1,100,88,12.24
523,Sawakin,73.09,19.1,37.33,92,56,3.96
524,Keti Bandar,80.47,24.14,67.45,99,0,10
525,Yermakovskoye,38.17,53.28,92.4,97,92,7.65
526,Gamba,17.47,28.28,88.52,62,24,2.28
527,Ballitoville,65.08,-29.54,31.21,79,68,10.45
528,Maamba,53.38,-17.36,27.22,50,0,3.74
529,Merauke,81.82,-8.49,140.4,77,68,16.93
530,Northam,57.2,51.04,-4.21,87,20,8.05
531,Siocon,82.54,11.03,124.04,100,20,11.79
532,Dudinka,32.77,69.41,86.18,95,80,10.67
533,Concepcion del Uruguay,51.67,-32.48,-58.24,68,0,5.19
534,Port Blair,84.52,11.67,92.75,100,12,3.4
535,Pindwara,65.44,24.79,73.05,89,0,2.62
536,Coxim,72.19,-18.5,-54.75,93,24,2.62
537,Golyshmanovo,45.73,56.4,68.37,81,92,7.43
538,Meadow Lake,35.6,54.13,-108.44,47,40,6.93
539,Pangnirtung,23.95,66.15,-65.72,85,20,6.76
540,Darnah,78.22,32.77,22.64,94,68,16.93
541,Abeche,71.47,13.83,20.83,52,20,3.74
542,Kamenka,51.76,53.19,44.05,94,92,7.76
